BUSINESSPROCESSOUTPUT_PKID,Program Events\Registrants\Constituent\Lookup ID,Program Events\Name,Program Events\System record ID,Program Events\Registrants\Status,Program Events\Registrants\Attended,Program Events\Start date,Program Events\End date
1,100077,Member Night,1787f3e1-3315-485a-95d7-1da21ed4ddb9,Registered,False,3/22/2018,3/22/2018
2,100137,Peek Behind The Petals,90927b93-07cf-4d47-bc16-1e0da1bc5576,Will not attend,False,11/4/2017,11/4/2017
3,100233,Member Night,1787f3e1-3315-485a-95d7-1da21ed4ddb9,Registered,True,3/22/2018,3/22/2018
4,100780,Member Night,1787f3e1-3315-485a-95d7-1da21ed4ddb9,Registered,False,3/22/2018,3/22/2018
5,101092,Member Night,1787f3e1-3315-485a-95d7-1da21ed4ddb9,Registered,True,3/22/2018,3/22/2018
6,101210,Member Night,1787f3e1-3315-485a-95d7-1da21ed4ddb9,Registered,True,3/22/2018,3/22/2018
7,101495,Member Night,1787f3e1-3315-485a-95d7-1da21ed4ddb9,Registered,False,3/22/2018,3/22/2018
8,101605,Member Night,1787f3e1-3315-485a-95d7-1da21ed4ddb9,Registered,True,3/22/2018,3/22/2018
9,101804,Member Night,1787f3e1-3315-485a-95d7-1da21ed4ddb9,Registered,False,3/22/2018,3/22/2018
10,101806,Peek Behind The Petals,688982c6-4e8f-4b40-8987-d004710a4de7,Registered,True,9/16/2017,9/16/2017
11,101927,Member Night,1787f3e1-3315-485a-95d7-1da21ed4ddb9,Registered,False,3/22/2018,3/22/2018
12,101966,Member Night,1787f3e1-3315-485a-95d7-1da21ed4ddb9,Registered,True,3/22/2018,3/22/2018
13,101989,Member Night,1787f3e1-3315-485a-95d7-1da21ed4ddb9,Registered,True,3/22/2018,3/22/2018
14,101989,Peek Behind The Petals,688982c6-4e8f-4b40-8987-d004710a4de7,Registered,True,9/16/2017,9/16/2017
15,102320,Member Night,1787f3e1-3315-485a-95d7-1da21ed4ddb9,Registered,False,3/22/2018,3/22/2018
16,102328,Peek Behind The Petals,688982c6-4e8f-4b40-8987-d004710a4de7,Registered,True,9/16/2017,9/16/2017
17,102537,Peek Behind The Petals,688982c6-4e8f-4b40-8987-d004710a4de7,Registered,True,9/16/2017,9/16/2017
18,102584,Member Night,1787f3e1-3315-485a-95d7-1da21ed4ddb9,Registered,True,3/22/2018,3/22/2018
19,102633,Member Night,1787f3e1-3315-485a-95d7-1da21ed4ddb9,Registered,True,3/22/2018,3/22/2018
20,102764,Member Night,1787f3e1-3315-485a-95d7-1da21ed4ddb9,Registered,True,3/22/2018,3/22/2018
21,102824,Member Night,1787f3e1-3315-485a-95d7-1da21ed4ddb9,Registered,False,3/22/2018,3/22/2018
22,102824,Not Your Parents' Garden Party,e929ea71-44ac-4fb1-b831-33a00fc649e7,Registered,True,9/14/2017,9/14/2017
23,102839,Member Night,1787f3e1-3315-485a-95d7-1da21ed4ddb9,Registered,False,3/22/2018,3/22/2018
24,103051,Member Night,1787f3e1-3315-485a-95d7-1da21ed4ddb9,Registered,True,3/22/2018,3/22/2018
25,103882,Not Your Parents' Garden Party,e929ea71-44ac-4fb1-b831-33a00fc649e7,Canceled,False,9/14/2017,9/14/2017
26,103949,Member Night,1787f3e1-3315-485a-95d7-1da21ed4ddb9,Registered,True,3/22/2018,3/22/2018
27,104009,Peek Behind The Petals,21327acb-aa7d-4000-9532-0a9c864addd3,Registered,False,6/16/2018,6/16/2018
28,104197,Member Night,1787f3e1-3315-485a-95d7-1da21ed4ddb9,Registered,True,3/22/2018,3/22/2018
