lookup_id,membership_id
0001,21883
100000,43011
100001,43012-1438
100004,43014
100006,43015
100008,44022
100009,43016
100010,43017
100012,43018
100013,43019
100014,43020
100015,43021
100016,43022
100017,43023
100018,43024
100019,43025
100020,43026
100021,43027
100022,43028
100023,43029
100024,43030
100025,43031
100032,43032
100033,43033
100035,43789
100038,43034
100039,43035
100040,43037
100041,43038
100042,43039
100043,43040
100044,43041
100045,43042
100046,43043
100047,43044
100067,43064
100068,43047
100069,43048
100070,43049
100071,43050
100072,43051
100073,43052
100074,43053
100075,43054
100076,43056
100077,43057
100078,43058
100079,43059
100081,43060
100082,43061
100083,43062
100084,43063
100086,43065
100089,47848
100094,43067
100095,43068
100096,43070
100097,43071
100098,43072
100099,43073
100102,43074
100103,43075
100104,43076
100105,43077
100106,43078
100107,43079
100108,43080
100109,43081
100110,43082
100111,43083
100112,43084
100113,43085
100114,43086
100115,43087
100116,43088
100117,43089
100118,43090
100119,43091
100120,43092
100121,43094
100122,43095
100123,43096
100124,43097
100125,43098
100126,43099
100127,43100
100128,43101
100129,43102
100131,43103
100132,43106
100133,43107
100135,43108
100136,43110
100137,43111-1438
100138,33743
100138,43112
100139,43113
100140,43115
100141,43116
100142,43117
100143,43118
100148,43114
100149,43119
100150,43120
100151,43121
100152,43122
100153,43123
100154,43124
100155,43125
100156,43126
100157,43127
100158,43130
100159,43136
100160,43137-1438
100161,43138
100162,43139
100163,43140
100164,43141
100165,43142
100166,43143
100167,43144
100168,43145
100169,43146
100170,43147
100171,43148
100172,43149
100173,43150
100174,43151
100175,43152
100176,43153
100177,43154
100178,43155
100179,43156
100180,43157
100183,43158
100184,43159
100185,43162
100186,43164
100187,43165
100188,43166
100189,43167
100190,43168
100191,43169
100192,43170
100193,43171
100196,43174
100197,43175
100198,43176
100199,43177
100200,43178
100201,43179
100202,43181
100203,43182
100204,43183
100205,43184
100206,43185
100207,43186
100208,43187
100209,43188
100210,43189
100211,43190
100212,43192
100213,43195
100215,43196
100216,43197
100217,43198
100218,43199
100219,43200
100220,43207
100221,43203
100222,43204
100223,43205
100224,43206
100225,43208
100227,43209
100228,43210
100230,43211
100232,43212
100233,43213
100235,43214
100236,43215
100241,43216
100242,43217
100243,43218
100247,43220
100258,43221
100260,43223
100261,43225
100262,43226
100263,43227
100264,43228
100265,43229
100266,43230
100267,43231
100268,43232
100269,43234
100270,43235
100271,43238
100272,43240
100273,43241
100280,43247
100281,43246
100282,43248
100283,43249
100284,43250
100285,43251-1438
100286,43252
100287,43253
100288,43254
100289,43255
100290,43256
100291,43257
100292,43258
100293,43259
100294,43260
100295,43261
100298,43262
100299,43264
100300,43268
100301,43265
100302,43266
100303,43267
100304,43269
100305,43270
100307,43271
100308,43272
100309,43273
100310,43274
100311,43275
100312,43276
100313,43279
100314,43280
100315,43281
100316,43282
100317,43283
100318,43284
100319,43285
100321,43286
100322,43288
100323,43289-1438
100324,43290
100325,43291
100326,43292
100327,43293
100328,43294
100329,43295
100330,43296
100331,43297
100332,43298
100333,43299
100335,43301
100336,43302
100338,43304
100339,43305
100340,43306
100344,43307
100345,43308
100346,43309
100347,43310
100348,43311
100349,43313
100350,43314
100351,43315
100352,43317
100353,43318
100354,43319
100355,43320
100356,43321
100357,43322
100358,43324
