lookup_id,contact_type,date
1,Email,12/9/17
1,Mail,30/8/17
1,Mail,14/11/17
1,Mail,20/11/17
1,Mail,12/12/17
1,Mail,26/1/18
100000,Mail,1/8/17
100000,Mail,8/8/17
100001,Email,14/11/17
100001,Email,13/3/18
100001,Mail,1/8/17
100001,Mail,8/8/17
100001,Mail,30/8/17
100001,Mail,27/10/17
100001,Mail,10/11/17
100001,Mail,23/11/17
100001,Mail,9/1/18
100001,Mail,13/2/18
100003,Not specified,
100004,Mail,10/11/17
100005,Not specified,
100006,Mail,10/11/17
100007,Not specified,
100008,Email,12/9/17
100008,Email,9/1/18
100010,Mail,1/8/17
100010,Mail,8/8/17
100010,Mail,30/8/17
100010,Mail,30/8/17
